月份,持有_总收益,无ML_T净贡献,ML_T净贡献,股票数,无ML_总收益,ML_总收益,持有正收益占比,无ML_T正占比,ML_T正占比,无ML均交易天,ML均交易天
2024-01,-7253763,2311524,2460777,297,-4942238,-4792986,36%,83%,86%,9.9,7.0
2024-02,7224934,1249194,1150483,297,8474129,8375417,98%,84%,83%,8.4,6.8
2024-03,680769,1274628,1262544,297,1955397,1943314,49%,77%,78%,8.9,6.2
2024-04,1162222,2227070,2138880,297,3389292,3301103,60%,87%,86%,9.5,7.0
2024-05,-2451371,758243,784214,297,-1693128,-1667156,41%,69%,69%,7.4,5.1
2024-06,-2335077,1677271,1715013,297,-657805,-620064,35%,82%,83%,8.7,5.5
2024-07,-132087,2175978,2118658,297,2043891,1986570,56%,79%,78%,10.5,7.4
2024-08,-2483438,1504624,1534973,297,-978814,-948464,20%,73%,76%,8.5,6.0
2024-09,12970233,-4129351,-4181576,297,8840881,8788656,99%,12%,10%,10.2,7.6
2024-10,-9985952,3411412,3395695,297,-6574540,-6590256,8%,68%,69%,11.0,9.6
2024-11,2060224,1874949,1884498,297,3935174,3944723,52%,71%,71%,10.7,8.2
2024-12,-359881,-877372,-854602,298,-1237253,-1214483,45%,36%,35%,8.0,5.7
2025-01,-1492024,460228,414293,298,-1031795,-1077730,30%,42%,40%,10.1,6.6
2025-02,2252790,1630262,1595128,299,3883053,3847919,49%,77%,77%,7.5,5.4
2025-03,-1034348,1125388,1108709,299,91040,74360,46%,66%,67%,6.4,4.2
2025-04,-1667635,4289139,4257620,299,2621504,2589985,29%,96%,96%,8.0,6.6
2025-05,-181582,-837275,-848425,299,-1018858,-1030008,57%,25%,25%,4.8,3.2
2025-06,2051402,521178,459922,299,2572580,2511324,69%,58%,57%,5.1,2.9
2025-07,3971804,85306,30043,300,4057110,4001847,69%,43%,42%,6.5,4.4
2025-08,13428785,649236,535142,300,14078022,13963928,79%,45%,44%,7.5,4.9
2025-09,3325088,885160,843451,300,4210248,4168539,42%,68%,68%,9.7,7.0
2025-10,-2766713,2008280,2018565,300,-758432,-748148,50%,82%,82%,6.4,5.3
2025-11,-2634139,2446127,2460967,300,-188012,-173172,27%,69%,71%,6.4,4.6
2025-12,1652496,1794347,1769085,300,3446843,3421581,50%,74%,74%,6.9,5.1
2026-01,1750943,-317009,-318507,300,1433934,1432436,47%,46%,49%,8.9,7.1
2026-02,425526,15993,1048,300,441520,426575,60%,34%,34%,5.3,3.9
2026-03,-5983130,2197474,2327528,300,-3785655,-3655602,27%,80%,81%,9.1,7.6
2026-04,8924517,-1151521,-1194618,300,7772996,7729899,53%,55%,55%,8.5,6.6
2026-05,4295008,-962316,-946534,300,3332691,3348473,28%,47%,49%,9.0,7.1
2026-06,-2298972,-83514,-74477,300,-2382486,-2373449,61%,43%,46%,0.4,0.3
