月份,股票数,持有_总收益,无ML_T净贡献,无ML_总收益,ML_T净贡献,ML_总收益,持有正收益占比,无ML_T正占比,ML_T正占比,无ML均交易天,ML均交易天
2024-01,297,-4188507,-188343,-4376851,-194014,-4382522,45%,41%,46%,8.7,6.1
2024-02,297,7754165,81180,7835346,136437,7890603,99%,50%,63%,5.9,4.1
2024-03,297,1851967,-49269,1802698,-20754,1831213,61%,29%,38%,6.8,4.3
2024-04,297,2968674,-22717,2945957,8388,2977062,79%,36%,47%,7.1,4.9
2024-05,297,-1587914,-80275,-1668190,-49003,-1636917,49%,29%,37%,5.9,3.8
2024-06,297,-547996,-96228,-644224,-35554,-583550,48%,33%,44%,6.7,4.0
2024-07,297,1762265,-92972,1669293,-33545,1728720,68%,29%,39%,7.8,5.7
2024-08,297,-1023707,-167980,-1191687,-76420,-1100127,32%,16%,31%,7.0,4.3
2024-09,297,8173514,269041,8442555,305536,8479051,98%,71%,74%,7.1,4.7
2024-10,297,-6435262,-394938,-6830200,-320943,-6756206,13%,13%,14%,10.1,7.9
2024-11,297,3835446,-152283,3683163,15383,3850830,63%,27%,45%,9.3,6.0
2024-12,298,-995483,-192575,-1188058,-192022,-1187506,43%,21%,26%,6.4,4.4
2025-01,298,-1152047,-177386,-1329434,-140996,-1293043,27%,21%,29%,7.4,4.8
2025-02,299,3674317,18448,3692766,48895,3723213,63%,30%,40%,5.6,3.9
2025-03,299,79924,-32490,47433,-2220,77704,54%,32%,39%,4.9,3.2
2025-04,299,2325981,34058,2360040,66073,2392054,63%,46%,50%,6.0,4.8
2025-05,299,-936524,-88847,-1025372,-66392,-1002916,48%,28%,32%,3.6,2.3
2025-06,299,2355535,-128,2355407,30030,2385565,70%,33%,47%,3.6,1.9
2025-07,300,3829343,-56717,3772625,-37478,3791865,62%,30%,35%,4.8,3.1
2025-08,300,13330319,192990,13523310,238967,13569287,78%,41%,62%,5.4,3.3
2025-09,300,3554946,-7867,3547079,57507,3612454,47%,37%,48%,8.3,5.8
2025-10,300,-640733,-303167,-943900,-235064,-875797,63%,28%,38%,6.0,4.5
2025-11,300,-163665,-134805,-298470,-77844,-241510,35%,24%,38%,5.9,4.1
2025-12,300,3105833,46902,3152735,66505,3172338,59%,42%,49%,5.2,3.7
2026-01,300,1398197,-63869,1334328,-33057,1365140,48%,32%,41%,8.1,5.9
2026-02,300,355418,-15529,339888,-3856,351561,55%,31%,40%,4.1,3.2
2026-03,300,-3315430,-212058,-3527489,-124578,-3440009,37%,23%,29%,8.9,6.8
2026-04,300,7334632,48493,7383125,73727,7408359,57%,39%,46%,6.4,4.7
2026-05,300,3651803,-60641,3591161,17679,3669482,28%,27%,33%,8.6,6.4
2026-06,300,-2298972,-89253,-2388225,-85725,-2384697,61%,42%,43%,0.4,0.4
