symbol,总天数,持有_收益,无ML_T净贡献,无ML_总收益,无ML_交易天,无ML_夏普,ML_T净贡献,ML_总收益,ML_交易天,ML_夏普
000001,40,-500.0,-593.0,-1093.0,1,-0.91,-593.0,-1093.0,1,-0.91
000002,40,-2850.0,1006.0,-1844.0,14,-1.71,1065.0,-1785.0,12,-1.45
000063,40,10200.0,-9203.0,997.0,21,0.06,-6910.0,3290.0,17,0.18
000100,40,350.0,-1460.0,-1110.0,21,-0.76,-629.0,-279.0,25,-0.19
000157,40,-8050.0,-2040.0,-10090.0,9,-4.21,-1375.0,-9425.0,18,-4.0
000166,40,-1550.0,-496.0,-2046.0,2,-3.27,-377.0,-1927.0,1,-3.22
000301,40,7000.0,5005.0,12005.0,17,4.1,4975.0,11975.0,14,3.96
000333,40,26000.0,19749.0,45749.0,4,4.61,18904.0,44904.0,4,4.68
000338,40,43500.0,-46988.0,-3488.0,35,-0.26,-48429.0,-4929.0,29,-0.36
000408,40,-21774.0,-49434.0,-71208.0,21,-2.6,-53531.0,-75305.0,17,-2.59
000425,40,-2500.0,-10532.0,-13032.0,21,-3.0,-10721.0,-13221.0,23,-3.19
000538,40,-21491.0,202.0,-21289.0,0,-3.95,202.0,-21289.0,0,-3.95
000568,40,-77050.0,70000.0,-7050.0,0,-0.45,74108.0,-2942.0,6,-0.18
000596,40,-46050.0,71826.0,25776.0,10,0.92,72253.0,26203.0,6,0.95
000617,40,-11100.0,1219.0,-9881.0,17,-2.84,1001.0,-10099.0,17,-2.89
000625,40,-10150.0,3727.0,-6423.0,1,-5.59,4389.0,-5761.0,10,-4.59
000630,40,4050.0,293.0,4343.0,25,1.48,358.0,4408.0,28,1.49
000651,40,5100.0,-1451.0,3649.0,1,0.77,-1650.0,3450.0,0,0.75
000661,40,-68868.0,5102.0,-63766.0,4,-3.9,7617.0,-61251.0,3,-3.81
000708,40,-9270.0,-2468.0,-11738.0,8,-3.08,-1466.0,-10736.0,13,-2.76
000725,40,6750.0,-2200.0,4550.0,20,1.97,-2116.0,4634.0,9,2.0
000768,40,-14700.0,-2427.0,-17127.0,10,-3.02,-3801.0,-18501.0,6,-3.2
000776,40,3450.0,-5258.0,-1808.0,11,-0.45,-5910.0,-2460.0,14,-0.56
000786,40,-16050.0,11633.0,-4417.0,18,-0.7,11605.0,-4445.0,20,-0.62
000792,40,-33850.0,-16428.0,-50278.0,24,-3.12,-12045.0,-45895.0,28,-2.91
000807,40,-12750.0,-23690.0,-36440.0,17,-2.73,-24211.0,-36961.0,28,-2.52
000858,40,-102800.0,97650.0,-5150.0,0,-0.42,100526.0,-2274.0,3,-0.17
000876,40,-1600.0,2659.0,1059.0,1,0.76,2565.0,965.0,3,0.67
000895,40,-12946.0,7084.0,-5863.0,9,-1.27,7402.0,-5545.0,3,-1.24
000938,40,11700.0,-25377.0,-13677.0,28,-0.86,-29247.0,-17547.0,26,-1.07
000963,40,-33700.0,-5777.0,-39477.0,9,-5.43,-4304.0,-38004.0,6,-5.43
000975,40,-35275.0,-18975.0,-54249.0,16,-3.96,-18352.0,-53627.0,14,-3.91
000977,40,33709.0,-24205.0,9504.0,22,0.26,-41225.0,-7516.0,14,-0.19
000983,40,3450.0,1985.0,5435.0,9,2.8,2102.0,5552.0,9,2.96
000999,40,-14574.0,6527.0,-8047.0,1,-2.18,6527.0,-8047.0,1,-2.18
001391,40,-300.0,111.0,-189.0,4,-0.29,100.0,-200.0,2,-0.31
001965,40,400.0,3993.0,4393.0,17,2.26,3858.0,4258.0,7,2.19
001979,40,3000.0,1657.0,4657.0,21,1.34,1365.0,4365.0,17,1.39
002001,40,-19479.0,19939.0,460.0,13,0.04,12536.0,-6943.0,15,-0.51
002027,40,-4800.0,-3032.0,-7832.0,13,-4.75,-2390.0,-7190.0,11,-4.58
002028,40,45000.0,-48335.0,-3335.0,11,-0.04,-44055.0,945.0,11,0.01
002049,40,46050.0,-31073.0,14977.0,27,0.46,-31049.0,15001.0,17,0.46
002050,40,6150.0,-5542.0,608.0,21,0.03,-3063.0,3087.0,16,0.16
002074,40,-18700.0,-14058.0,-32758.0,14,-2.29,-15260.0,-33960.0,16,-2.47
002142,40,4050.0,-826.0,3224.0,6,0.6,-460.0,3590.0,2,0.7
002179,40,10494.0,-7574.0,2920.0,27,0.18,-20314.0,-9820.0,14,-0.62
002230,40,9450.0,-7316.0,2134.0,14,0.16,-8753.0,697.0,11,0.05
002236,40,301.0,1699.0,2000.0,8,0.45,1716.0,2016.0,8,0.43
002241,40,19303.0,4507.0,23810.0,24,2.79,4049.0,23352.0,20,2.69
002252,40,-2800.0,202.0,-2598.0,2,-3.28,371.0,-2429.0,4,-3.14
002304,40,-27850.0,19455.0,-8395.0,2,-1.13,19971.0,-7879.0,2,-1.05
002311,40,-10500.0,2758.0,-7742.0,5,-0.46,5420.0,-5080.0,11,-0.31
002352,40,-14192.0,577.0,-13615.0,3,-3.6,305.0,-13887.0,2,-3.69
002371,40,673450.0,86404.0,759854.0,19,3.2,84758.0,758208.0,16,3.2
002384,40,421250.0,-110259.0,310991.0,32,2.85,-124461.0,296789.0,25,2.75
002415,40,5.0,-24008.0,-24004.0,16,-2.74,-21972.0,-21968.0,12,-2.6
002422,40,8495.0,-4546.0,3949.0,20,0.34,-1861.0,6634.0,22,0.55
002459,40,-10000.0,3362.0,-6638.0,19,-1.9,3494.0,-6506.0,14,-1.95
002460,40,-46200.0,-7006.0,-53206.0,21,-1.63,-3979.0,-50179.0,24,-1.53
002463,40,221869.0,-70340.0,151529.0,26,2.75,-67670.0,154199.0,27,2.86
002466,40,30950.0,-6260.0,24690.0,24,0.8,-2372.0,28578.0,21,0.91
002475,40,101150.0,-53545.0,47605.0,29,1.53,-50286.0,50864.0,23,1.64
002493,40,-3206.0,-4324.0,-7530.0,20,-1.44,-4197.0,-7403.0,25,-1.4
002594,40,-61250.0,9819.0,-51431.0,8,-2.22,11601.0,-49649.0,10,-2.17
002600,40,9477.0,-9942.0,-466.0,31,-0.07,-10697.0,-1220.0,21,-0.17
002601,40,-16000.0,-2836.0,-18836.0,16,-3.9,-3180.0,-19180.0,22,-3.65
002625,40,-3000.0,6224.0,3224.0,23,0.23,5225.0,2225.0,23,0.16
002648,40,-18450.0,19779.0,1329.0,22,0.11,23921.0,5471.0,33,0.47
002709,40,27386.0,19333.0,46720.0,30,1.58,25165.0,52551.0,29,1.8
002714,40,-18374.0,-987.0,-19361.0,8,-1.74,-4682.0,-23056.0,11,-1.97
002736,40,-6150.0,937.0,-5213.0,1,-2.67,995.0,-5155.0,6,-2.58
002916,40,777803.0,-338718.0,439085.0,23,3.02,-339562.0,438241.0,21,3.02
002920,40,-18641.0,39696.0,21055.0,14,0.51,45697.0,27056.0,14,0.67
002938,40,245450.0,-186307.0,59143.0,30,1.25,-185457.0,59993.0,27,1.28
003816,40,350.0,847.0,1197.0,18,0.98,1046.0,1396.0,22,1.13
300014,40,9164.0,-20679.0,-11515.0,21,-0.45,-22752.0,-13588.0,19,-0.52
300015,40,-2250.0,4559.0,2309.0,12,0.79,4787.0,2537.0,7,0.87
300033,40,71397.0,45077.0,116475.0,9,1.39,58366.0,129764.0,11,1.55
300059,40,-674.0,3046.0,2373.0,14,0.53,2859.0,2186.0,16,0.48
300122,40,-7400.0,5742.0,-1658.0,10,-0.37,6146.0,-1254.0,11,-0.28
300124,40,30000.0,-7355.0,22645.0,27,0.92,-7954.0,22046.0,19,0.92
300251,40,-12393.0,8934.0,-3460.0,10,-0.65,10470.0,-1923.0,15,-0.37
300274,40,168875.0,2065.0,170939.0,23,2.17,-3517.0,165358.0,18,2.12
300308,40,2698493.0,-533614.0,2164879.0,23,5.63,-528583.0,2169909.0,15,5.63
300316,40,28355.0,11685.0,40040.0,35,1.37,8232.0,36587.0,32,1.27
300347,40,-77050.0,39171.0,-37879.0,16,-2.23,28788.0,-48262.0,19,-2.6
300394,40,561050.0,-102535.0,458515.0,21,2.2,-92235.0,468815.0,19,2.25
300408,40,357071.0,-111078.0,245993.0,33,5.63,-107729.0,249342.0,28,5.69
300413,40,-15500.0,-2962.0,-18462.0,4,-4.36,-4653.0,-20153.0,8,-4.41
300418,40,-29300.0,-36563.0,-65863.0,20,-2.57,-37143.0,-66443.0,17,-2.57
300433,40,65450.0,26556.0,92006.0,30,6.11,26112.0,91562.0,27,6.05
300442,40,-5950.0,-80964.0,-86914.0,22,-1.72,-80065.0,-86015.0,19,-1.75
300476,40,420095.0,-97122.0,322972.0,16,1.73,-100320.0,319775.0,15,1.72
300498,40,-15600.0,1334.0,-14266.0,14,-2.96,1839.0,-13761.0,17,-2.83
300502,40,1091450.0,11727.0,1103177.0,28,3.73,30620.0,1122070.0,21,3.77
300628,40,30693.0,-3343.0,27350.0,13,2.8,-4802.0,25891.0,14,2.93
300661,40,180724.0,-77610.0,103114.0,36,1.94,-81659.0,99066.0,35,1.84
300750,40,83477.0,-631527.0,-548050.0,14,-4.64,-632792.0,-549315.0,12,-4.67
300759,40,-19800.0,10441.0,-9359.0,19,-1.23,9615.0,-10185.0,28,-1.31
300760,40,-73254.0,32748.0,-40507.0,3,-1.12,34049.0,-39205.0,3,-1.08
300782,40,93450.0,-72299.0,21151.0,26,0.27,-76988.0,16462.0,22,0.21
300803,40,-39950.0,14273.0,-25677.0,12,-0.77,18601.0,-21349.0,18,-0.64
300832,40,-9109.0,23260.0,14151.0,26,0.92,22245.0,13137.0,18,0.91
300866,40,69243.0,55180.0,124423.0,23,2.23,42421.0,111664.0,15,2.07
300896,40,-69161.0,50014.0,-19147.0,14,-0.7,49585.0,-19576.0,9,-0.72
300979,40,-39180.0,-4069.0,-43248.0,2,-5.7,-1691.0,-40871.0,6,-5.2
300999,40,-6871.0,581.0,-6290.0,3,-1.24,885.0,-5986.0,4,-1.09
301236,40,8200.0,-8887.0,-687.0,14,-0.03,-11656.0,-3456.0,13,-0.14
301269,40,116641.0,61943.0,178583.0,21,2.92,61355.0,177996.0,15,2.9
302132,40,-25450.0,4115.0,-21335.0,9,-1.25,-1832.0,-27282.0,7,-1.67
600000,40,-4400.0,1159.0,-3241.0,4,-2.36,1090.0,-3310.0,1,-2.44
600009,40,-15300.0,650.0,-14650.0,0,-5.93,922.0,-14378.0,2,-5.78
600010,40,-900.0,861.0,-39.0,19,-0.04,1022.0,122.0,26,0.13
600011,40,13450.0,1319.0,14769.0,18,5.27,1166.0,14616.0,13,5.25
600015,40,-2500.0,1148.0,-1352.0,4,-1.16,1257.0,-1243.0,3,-1.03
600016,40,-1100.0,450.0,-650.0,0,-2.1,450.0,-650.0,0,-2.1
600018,40,150.0,-300.0,-150.0,0,-0.3,-300.0,-150.0,0,-0.3
600019,40,-2100.0,-178.0,-2278.0,2,-2.61,-213.0,-2313.0,3,-2.58
600023,40,6150.0,3627.0,9777.0,16,4.97,3462.0,9612.0,15,4.9
600025,40,850.0,1064.0,1914.0,6,1.0,1145.0,1995.0,7,1.05
600026,40,-17900.0,2902.0,-14998.0,25,-1.48,-5289.0,-23189.0,35,-2.15
600027,40,5900.0,1464.0,7364.0,16,5.4,1325.0,7225.0,9,5.44
600028,40,-5050.0,716.0,-4334.0,3,-6.91,1022.0,-4028.0,3,-6.68
600029,40,-1750.0,-818.0,-2568.0,9,-2.5,-769.0,-2519.0,17,-2.41
600030,40,6200.0,-8501.0,-2301.0,4,-0.51,-8230.0,-2030.0,9,-0.42
600031,40,-8700.0,-16178.0,-24878.0,16,-4.13,-17014.0,-25714.0,19,-4.33
600036,40,-6800.0,550.0,-6250.0,0,-1.9,550.0,-6250.0,0,-1.9
600039,40,-8200.0,577.0,-7623.0,13,-2.4,988.0,-7212.0,19,-2.23
